code,title,Availabilities,Curriculum,RulesPrereqs,RulesPrereqsList,RulesCoreqs,RulesCoreqsList,RulesIncomps,RulesPrereqsList
FINA5521,"Quantitative Methods in Finance",163905;163906,"41680 Master of Commerce (coursework) as option in Finance [Active]; 
42560 Master of Applied Finance (coursework) as core [Active] [unique]; 
42670 Master of Economics (coursework or coursework and dissertation) as option in Financial Economics [Active]; 
41780 Master of Management (coursework) as option in Finance [Active from 2026]; 
43680 Master of Commerce - Articulation (coursework) as option in Finance [Active];","FINA5533 Finance Essentials (or equivalent) and FINA5632 Investments",,Nil.,,Nil.,
ECON5504,"Global Energy and Mineral Markets",163907,"42520 Master of Business Administration (coursework) as core in Minerals and Energy Management [Drafted for 2025]; 
42520 Master of Business Administration (coursework) as option [Drafted for 2025]; 
42520 Master of Business Administration (coursework) as option in Finance [Drafted for 2025]; 
42520 Master of Business Administration (coursework) as option in Oil and Gas [Drafted for 2025]; 
43520 Master of Business Administration (coursework and dissertation) as option [Active]; 
62520 Master of Low Emission Energy Technologies (coursework) as option [Active]; 
43200 Graduate Certificate in Minerals and Energy Management as option [Active];","ECON5503 Economic Management and Strategy and FINA5530 Managerial Finance; enrolment in the Master of Business Administration (coursework) or the Master of Business Administration (coursework and dissertation);or MGMT5524 Strategic Management of Resources Companies and enrolment in the Graduate Certificate of Minerals and Energy Management; or enrolment in the Master of Engineering in Oil and Gas;  or approval from The Business School only, which will be determined with regard to relevant documented professional work experience",,Nil.,,Nil.,
FINA5523,"Financial Statement Analysis and Business Valuation",163908;163909,"41680 Master of Commerce (coursework) as option in Finance [Active]; 
40610 Master of Professional Accounting (coursework) as option [Active]; 
42560 Master of Applied Finance (coursework) as option [Active]; 
41250 Graduate Certificate in Finance as core [Active]; 
41780 Master of Management (coursework) as option in Finance [Active from 2026]; 
43680 Master of Commerce - Articulation (coursework) as option in Finance [Active];","for Master of Commerce and Master of Professional Accounting students: FINA5533 Finance Essentials (or equivalent); for Master of Applied Finance students: ECON5541 Economics for Business: Applications and Policy and MGMT5504 Data Analysis and Decision Making and ACCT5432 Introductory Financial Accounting and MGMT5610 Applied Professional Business Communications

Graduate Certificate in Finance students: none",61996;61997;61998,"Master of Applied Finance Students: FINA5533 Finance Essentials (or equivalent)",,"FINA2207 Business Analysis & Valuation or ACCT3302 Financial Statement Analysis.",61996;61997;61998
FINA5520,"Risk Management and Financial Instruments",163910,"41680 Master of Commerce (coursework) as option in Finance [Active]; 
42560 Master of Applied Finance (coursework) as core [Active] [unique]; 
41780 Master of Management (coursework) as option in Finance [Active from 2026]; 
43680 Master of Commerce - Articulation (coursework) as option in Finance [Active];","FINA5533 Finance Essentials or equivalent and FINA5632 Investments",,Nil.,,Nil,
FINA5524,"Trading and Markets",163911;163912,"41680 Master of Commerce (coursework) as option in Finance [Active]; 
42560 Master of Applied Finance (coursework) as option [Active]; 
41780 Master of Management (coursework) as option in Finance [Active from 2026]; 
43680 Master of Commerce - Articulation (coursework) as option in Finance [Active];","FINA5533 Finance Essentials (or equivalent) and FINA5632 Investments",,Nil,,"FINA3307 Trading in Securities Markets (ID 521)",
FINA5525,"Case Studies in Finance",163913;163914,"42560 Master of Applied Finance (coursework) as core [Active] [unique];","Minimum of 36 credit points in units coded FINA",,Nil,,Nil,
FINA5526,"Funds Management ",163915;163916,"41680 Master of Commerce (coursework) as option in Finance [Active]; 
42560 Master of Applied Finance (coursework) as core [Active]; 
41780 Master of Management (coursework) as option in Finance [Active from 2026]; 
43680 Master of Commerce - Articulation (coursework) as option in Finance [Active];","FINA5533 Finance Essentials (or equivalent) and FINA5632 Investments",,Nil,,Nil,
FINA5527,"Venture Capital",163917,"41680 Master of Commerce (coursework) as option in Finance [Active]; 
42560 Master of Applied Finance (coursework) as option [Active]; 
41780 Master of Management (coursework) as option in Finance [Active from 2026]; 
43680 Master of Commerce - Articulation (coursework) as option in Finance [Active];","FINA5533 Finance Essentials (or equivalent) and FINA5632 Investments",,Nil.,,Nil.,
SVLG1001,"Fundamentals of Service Learning",163918,"Unattached elective in University level unit",Nil.,,Nil.,,Nil.,
LAWS5251,"International Sales Law",171652,"HON-BSLAW Business Law (BCom (Hons)|*|) as option [Active]; 
20820 Juris Doctor as option [Active]; 
20500 Master of Laws (coursework) as option [Active]; 
20360 Graduate Diploma in Commercial and Resources Law as core [Active]; 
20320 Graduate Diploma in Law as option [Active]; 
20560 Master of Resources and International Commercial Law (coursework) as core [Active] [unique]; 
21510 Master of International Commercial Law (coursework) as option [Active]; 
21520 Master of International Law (coursework) as option [Active]; 
21320 Graduate Diploma in International Law as option [Active]; 
21310 Graduate Diploma in International Commercial Law as option [Active];","<i>for students from a non-law background</i>: LAWS5250 Foundations of International Commercial Law",152220;152221;152222;152223;152224;152225;152226;152227,Nil.,,Nil.,152220;152221;152222;152223;152224;152225;152226;152227
LAWS5176,"Australian Financial Transactions Law and Regulation",163919,"20500 Master of Laws (coursework) as option [Active]; 
20560 Master of Resources and International Commercial Law (coursework) as option [Active]; 
21550 Master of Taxation Law (coursework or coursework and dissertation) as option [Active];","<i>for Master of Commercial and Resources Law and Master of Taxation Law students</i>: nil; <i>for Master of Applied Finance students</i>: FINA5533 Finance Essentials (or equivalent) and FINA5632 Investments",,Nil,,Nil,
ARTF3050,"Advanced Major Project",163920,"MJD-FNART Fine Arts (BA|*|) as core [Active];","One of ARTF3020 Advanced Film: immersive cinematic experiences, ARTF3030 Advanced Art and Biotechnologies, ARTF3040 Advanced Art and Environment, or VISA3050 Advanced Studio",145085,Nil.,,"VISA3051 Advanced Major Project",145085
ARTF2000,"Curatorial Practices in Contemporary Arts",158781,"MJD-FNART Fine Arts (BA|*|) as core [Active]; 
MJD-INKHH Indigenous Knowledge, History and Heritage (BA|*|) as option [Active]; 
MJD-ARHCU Art History and Curatorial Studies (BA|*|) as core [Active]; 
MNR-CURAT Curatorial Studies (BA|*|) as option [Active];",Nil,74396,Nil,,"VISA2051 Curatorial Practices",74396
ARTF3000,"Advanced Studio",163921,"MJD-FNART Fine Arts (BA|*|) as option [Active];","one of the following: VISA2050 Video Art: Experimental Investigations; VISA2051 Curatorial Practices; VISA2214 Aesthetic Crossovers of Art and Science; VISA2249 Art and Life Manipulation; VISA2270 International Studio for Art and Culture; VISA2272 Art of the Graphic Novel; VISA2273 Art of Drawing—Advanced (formerly VISA2273 Art of Drawing—Transdisciplinary Practices)
or
12 points of Level 2 Fine Arts units (ARTF-coded units) including 1 of: ARTF2020 Moving Images, ARTF2021 Cinematic Spaces, ARTF2030 Art and Life Manipulation, ARTF2031 Art and the Life Sciences, ARTF2040 Earth, Water, Air & Fire: Material Explorations in Environmental Art or ARTF2041 Art in the Environment: Deep-Time Performance and Socially-Engaged Art (ID 7366)",,Nil.,,Nil.,
LAWS5175,"Heritage Governance: from Global to Local",160199,"73510 Master of Ecotourism (coursework and dissertation) as option [Active]; 
42580 Master of Public Policy (coursework or coursework and dissertation) as option in Law [Active from 2025]; 
62540 Master of Ocean Leadership (coursework) as option [Active]; 
21560 Master of Legal Practice (coursework) [Group C] [Active];",Nil,,Nil,,Nil,
LAWS6175,"Heritage Governance: from Global to Local",163922,"20810 Doctor of Juridical Science as option [Active];",Nil.,,Nil.,,Nil.,
LAWS5509,"Advanced Legal Research (by Invitation) Part 1",163923,"20820 Juris Doctor as option [Active];","invitation to enrol in this unit from the Law School Research Committee",,Nil.,,Nil.,
SHPC4001,"Computational Methods for Physics",163924,"HON-GEOPH Geophysics (BSc|*|) as core [Active]; 
HON-PHYSC Physics (BSc (Hons)|*|) as option [Active]; 
53560 Master of Physics (coursework and dissertation) as core in Computational Physics [Active]; 
53560 Master of Physics (coursework and dissertation) as option in Astronomy and Astrophysics [Active]; 
53560 Master of Physics (coursework and dissertation) as option in Experimental Physics [Active]; 
53560 Master of Physics (coursework and dissertation) as option in Medical Physics [Active]; 
53560 Master of Physics (coursework and dissertation) as option in Quantum Technology and Computing [Active]; 
53560 Master of Physics (coursework and dissertation) as option in Theoretical Physics [Active]; 
73660 Master of Medical Physics (coursework and dissertation) as option [Active];","CITS1401 Computational Thinking with Python <strong>and</strong> completion of the core units in the Physics major <strong>or</strong> Frontier Physics extended major <strong>or</strong> equivalent.",253817;253818;253819;253820;253821;253822;253823;253824;253825;253826;253827;253828;253829;253830;253831;253832;253833;253834;253835;253836;253837;253838;253839;253840;253841;253842;253843;253844,Nil,33765,"Nil
",253817;253818;253819;253820;253821;253822;253823;253824;253825;253826;253827;253828;253829;253830;253831;253832;253833;253834;253835;253836;253837;253838;253839;253840;253841;253842;253843;253844
SHPC4002,"Advanced Computational Physics",163925,"HON-GEOPH Geophysics (BSc|*|) as option [Active];","SHPC4001 Computational Methods for Physics <strong>and</strong> completion of the core units in the Physics major <strong>or</strong> Frontier Physics extended major <strong>or</strong> equivalent.",253847;253848;253849;253850;253851;253852;253853;253854,"Nil
",33672,"CITS3402 High Performance Computing ",253847;253848;253849;253850;253851;253852;253853;253854
LAWS5512,"Supervised Research",160481;160482,"20820 Juris Doctor as option [Active];","a minimum of 72 credit points which must include: LAWS4101 Foundations of Law and Lawyering and 30 points from LAWS4102 Criminal Law, LAWS4103 Contract, LAWS4104 Property, LAWS4106 Torts, LAWS4107 Land Law, LAWS4108 Foundations of Public Law, LAWS5106 Legal Theory and Ethics or LAWS4109 Legal Theory and Ethics",228391;228392;228393;228394;228395;228396;228397;228398;228399;228400;228401;228402;228403;228404,Nil.,,Nil.,228391;228392;228393;228394;228395;228396;228397;228398;228399;228400;228401;228402;228403;228404
LAWS5510,"Advanced Legal Research (by Invitation) Part 2",163926,"20820 Juris Doctor as option [Active];","invitation to enrol in this unit from the Honours and Advanced Legal Research Committee",,Nil.,,Nil.,
LAWS5254,"International Trade Law",163927,"20820 Juris Doctor as option [Active]; 
20500 Master of Laws (coursework) as option [Active]; 
20360 Graduate Diploma in Commercial and Resources Law as option [Active]; 
20320 Graduate Diploma in Law as option [Active]; 
20560 Master of Resources and International Commercial Law (coursework) as option [Active]; 
21510 Master of International Commercial Law (coursework) as option [Active]; 
21310 Graduate Diploma in International Commercial Law as option [Active]; 
21560 Master of Legal Practice (coursework) [Group C] [Active];","Juris Doctor (JD) students: LAWS4101 Foundations of Law and Lawyering and 30 points from: LAWS4102 Criminal Law, LAWS4103 Contract, LAWS4104 Property, LAWS4106 Torts, LAWS4107 Land Law, LAWS4108 Foundations of Public Law, LAWS5106 Legal Theory and Ethics or LAWS4109 Legal Theory and Ethics",100188;100189;100190;100191;100192;100193;100194;100195;100196;100197;100198;100199;100200;100201;100202;100203,Nil.,,"LAWS5511 International Trade Law, LAWS6719 International Trade Law, LAWS6254 WTO Law, LAWS3319 International Trade Law",100188;100189;100190;100191;100192;100193;100194;100195;100196;100197;100198;100199;100200;100201;100202;100203
MATH4001,"Mathematics and Statistics Research Project Part 1",163928;163929,"HON-MTHST Mathematics and Statistics (BSc (Hons)|*|) as core [Active]; 
HON-MATHS Mathematics (BSc (Hons)|*|) as core [Active]; 
HON-MATHH Mathematics (BMath (Hons)|*|) as core [Active];","enrolment in Honours in Mathematics and Statistics",41775;41776,Nil,41777,Nil,41775;41776
MATH4002,"Mathematics and Statistics Research Project Part 2",163930;163931,"HON-MTHST Mathematics and Statistics (BSc (Hons)|*|) as core [Active]; 
HON-MATHS Mathematics (BSc (Hons)|*|) as core [Active]; 
HON-MATHH Mathematics (BMath (Hons)|*|) as core [Active];","MATH4001 Mathematics and Statistics Research Project 1",41770;41771;41772,Nil,41773,Nil,41770;41771;41772
MATH4031,Algebra,163932,"HON-MTHST Mathematics and Statistics (BSc (Hons)|*|) as option [Active]; 
HON-MATHS Mathematics (BSc (Hons)|*|) as option [Active]; 
HON-STATS Statistics (BSc (Hons)|*|) as option [Active]; 
HON-MATHH Mathematics (BMath (Hons)|*|) as option [Active]; 
HON-STATH Statistics (BMath (Hons)|*|) as option [Active];","MATH3031 Algebraic Structures and Symmetry ",41714;41715;41716,Nil,41717,Nil,41714;41715;41716
MATH4032,"Continuous Geometry and Analysis",163933,"HON-MTHST Mathematics and Statistics (BSc (Hons)|*|) as option [Active]; 
HON-MATHS Mathematics (BSc (Hons)|*|) as option [Active]; 
HON-STATS Statistics (BSc (Hons)|*|) as option [Active]; 
HON-MATHH Mathematics (BMath (Hons)|*|) as option [Active]; 
HON-STATH Statistics (BMath (Hons)|*|) as option [Active];","MATH3032 Topology and Analysis",41704;41705;41706,Nil,41707,Nil,41704;41705;41706
MATH4033,"Advanced Topics in Pure Mathematics",163934,"HON-MTHST Mathematics and Statistics (BSc (Hons)|*|) as option [Active]; 
HON-MATHS Mathematics (BSc (Hons)|*|) as option [Active]; 
HON-STATS Statistics (BSc (Hons)|*|) as option [Active]; 
HON-MATHH Mathematics (BMath (Hons)|*|) as option [Active]; 
HON-STATH Statistics (BMath (Hons)|*|) as option [Active];","MATH3031 Algebraic Structures and Symmetry (ID 375) <strong>or</strong> MATH3032 Topology and Analysis (ID 372) <strong>or</strong> MATH3033 Geometry (ID 6597)",41690;41691;41692;41693;41694;41695;41696,Nil,41697,Nil,41690;41691;41692;41693;41694;41695;41696
MATH4021,"Dynamical Systems",163935,"HON-MTHST Mathematics and Statistics (BSc (Hons)|*|) as option [Active]; 
HON-MATHS Mathematics (BSc (Hons)|*|) as option [Active]; 
HON-STATS Statistics (BSc (Hons)|*|) as option [Active]; 
HON-MATHH Mathematics (BMath (Hons)|*|) as option [Active]; 
HON-STATH Statistics (BMath (Hons)|*|) as option [Active];","MATH3021 Nonlinear Dynamics and Chaos (formerly Dynamics and Control)",41744;41745;41746,Nil,41747,Nil,41744;41745;41746
MATH4023,"Mathematical Optimisation",163936,"HON-MTHST Mathematics and Statistics (BSc (Hons)|*|) as option [Active]; 
HON-MATHS Mathematics (BSc (Hons)|*|) as option [Active]; 
HON-STATS Statistics (BSc (Hons)|*|) as option [Active]; 
HON-MATHH Mathematics (BMath (Hons)|*|) as option [Active]; 
HON-STATH Statistics (BMath (Hons)|*|) as option [Active];","MATH2021 Introduction to Applied Mathematics",41724;41725;41726,Nil,41727,Nil,41724;41725;41726
MATH4022,"Theoretical Mechanics",163937,"HON-MTHST Mathematics and Statistics (BSc (Hons)|*|) as option [Active]; 
HON-MATHS Mathematics (BSc (Hons)|*|) as option [Active]; 
HON-STATS Statistics (BSc (Hons)|*|) as option [Active]; 
HON-MATHH Mathematics (BMath (Hons)|*|) as option [Active]; 
HON-STATH Statistics (BMath (Hons)|*|) as option [Active];","MATH3022 Scientific and Industrial Modelling ",41734;41735;41736,nil,41737,nil,41734;41735;41736
STAT4061,"Probability and Stochastic Processes",163938,"HON-MTHST Mathematics and Statistics (BSc (Hons)|*|) as option [Active]; 
HON-MATHS Mathematics (BSc (Hons)|*|) as option [Active]; 
HON-STATS Statistics (BSc (Hons)|*|) as option [Active]; 
HON-MATHH Mathematics (BMath (Hons)|*|) as option [Active]; 
HON-STATH Statistics (BMath (Hons)|*|) as option [Active];","STAT3061 Random Processes and their Applications <strong>or</strong>STAT3401 Advanced Data Analysis",253878;253879;253880;253881;253882;253883;253884,Nil,35490,Nil,253878;253879;253880;253881;253882;253883;253884
STAT4062,"Statistical Modelling and Inference",163939,"HON-MTHST Mathematics and Statistics (BSc (Hons)|*|) as option [Active]; 
HON-MATHS Mathematics (BSc (Hons)|*|) as option [Active]; 
HON-STATS Statistics (BSc (Hons)|*|) as option [Active]; 
HON-MATHH Mathematics (BMath (Hons)|*|) as option [Active]; 
HON-STATH Statistics (BMath (Hons)|*|) as option [Active]; 
MJD-CDSDM Computing and Data Science (BACS|*|) as core [Active];","(STAT3062 Statistical Science (ID 374) <strong>or</strong> STAT3401 Advanced Data Analysis (ID 394))  <strong>and</strong> STAT3064 Statistical Learning (ID 7429)",253910;253911;253912;253913;253914;253915;253916;253917;253918,Nil,35502,Nil,253910;253911;253912;253913;253914;253915;253916;253917;253918
STAT4063,"Computationally Intensive Methods in Statistics",163940,"HON-MTHST Mathematics and Statistics (BSc (Hons)|*|) as option [Active]; 
HON-MATHS Mathematics (BSc (Hons)|*|) as option [Active]; 
HON-STATS Statistics (BSc (Hons)|*|) as option [Active]; 
HON-MATHH Mathematics (BMath (Hons)|*|) as option [Active]; 
HON-STATH Statistics (BMath (Hons)|*|) as option [Active]; 
62530 Master of Data Science (coursework or coursework and dissertation) as option [Proposed for 2025];","STAT3062 Statistical Science <strong>or</strong> STAT4064 Applied Predictive Modelling (ID 6059)",253921;253922,Nil,35516,Nil,253921;253922
HIST2015,"Looking for Australia: From the Deep Past to Federation",160002;160003;160004,"MJD-HISTY History (BA|*|) as option [Active];",Nil,,Nil,,Nil,
TRNS5007,"Translation Revision and Post-editing",163941,"12520 Master of Translation Studies (coursework or coursework and dissertation) as option [Active from 2026];","units to the value of 24 points in the Master of Translation Studies (12520)",,Nil,,Nil,
SSEH4711,"Honours Dissertation Part 1",159389;159390,,"enrolment in honours in Sport Science, Exercise and Health",52800,Nil.,52801,Nil.,52800
TRNS5006,"General Interpreting",163942,"12520 Master of Translation Studies (coursework or coursework and dissertation) as core in Chinese Interpreting [Active from 2026]; 
12520 Master of Translation Studies (coursework or coursework and dissertation) as option [Active from 2026];","units to the value of 24 points in the Master of Translation Studies (12520)",,Nil,,Nil,
SCIE4481,"Good, Bogus and Corrupted Science",158698,"51580 Master of Science Communication (coursework or coursework and dissertation) as option [Active]; 
71520 Master of Biomedical Science (coursework or coursework and dissertation) as option in Biochemistry and Molecular Biology [Active]; 
71520 Master of Biomedical Science (coursework or coursework and dissertation) as option in Food Biochemistry [Active]; 
71520 Master of Biomedical Science (coursework or coursework and dissertation) as option in Neuroscience [Active]; 
71580 Master of Biotechnology (coursework or coursework and dissertation) as option in Synthetic Biology [Active from 2026]; 
42630 Master of Business Analytics (coursework) as option [Active];","enrolment in honours or postgraduate course",,Nil,,Nil,
DENT5409,"Integrated Dental Practice 3",172648,"91860 Doctor of Dental Medicine as core [Active];","DENT3001 Body Systems 1; DENT3002 Body Systems 2; DENT3003  Anatomy and Oral Sciences; DENT3004 Introduction to Clinical Dentistry; DENT3005 General Medicine and Pharmacology; DENT3006 Biofilm Sciences and Cariology; DENT3007 Fundamentals of Clinical Dentistry 1; DENT3008 Dental Public Health and Research Methodology; DENT4212 Fundamentals of Clinical Dentistry 2 Part 1; DENT4213 Fundamentals of Clinical Dentistry 2 Part 2; DENT4214 Fundamentals of Clinical Dentistry 2 Part 3; DENT4215 Introduction to Clinical Dental Practice 1; DENT4216 Fundamentals of Clinical Dentistry 3 Part 1; DENT4217 Fundamentals of Clinical Dentistry 3 Part 2; DENT4218 Introduction to Clinical Dental Practice  2 Part 1; DENT4219 Introduction to Clinical Dental Practice 2 Part 2; DENT5310 Integrated Dental Practice 1; DENT5311 Integrated Dental Practice 2.",,Nil,,Nil,
PSYC4410,"Psychological Research Communication Skills",163943,,"enrolment in Psychology honours",53613,"PSYC4422 Psychology Honours Research Project Part 2 ",53614;53615;53616,Nil,53613
SSEH1104,"Active Leadership 1: Developing Leadership Skills",157989;157990,"MNR-SPHSO Sport, Health and Society () as core [Proposed];",Nil,22538,Nil,22539,Nil,22538
ARCT2050,"Environmental Design",163944,"MJD-ARCTA Architecture A (BEnvDes|*|) as core [Active];","ARLA1030 Structures and Natural Systems or ARCT1030 Structures and Natural Systems",,Nil,,Nil,
PSYC4416,"Psychological Research and Theory",158738,"HON-PSYCH Psychology (BA (Hons)|*|BSc (Hons)|*|BPsych (Hons)|*|) as core [Active];","enrolment in Psychology honours",112054;112055;112056,Nil,11619,Nil,112054;112055;112056
PSYC4418,"Research Methods in Psychology II",159106,"HON-PSYCH Psychology (BA (Hons)|*|BSc (Hons)|*|BPsych (Hons)|*|) as core [Active];","enrolment in Psychology Honours or Master of Business Psychology",55188,Nil,11623,Nil,55188
PSYC4413,"Psychological Interventions",163945,"HON-PSYCH Psychology (BA (Hons)|*|BSc (Hons)|*|BPsych (Hons)|*|) as core [Active];","enrolment in Psychology honours",8873,Nil,8874,Nil,8873
PSYC4421,"Psychology Honours Research Project Part 1",163946,"HON-PSYCH Psychology (BA (Hons)|*|BSc (Hons)|*|BPsych (Hons)|*|) as core [Active];","enrolment in Psychology honours",53664,"[PSYC4700 BA Hons (Psychology) or SCIE4700 BSc Hons]",11629,Nil,53664
PSYC4422,"Psychology Honours Research Project Part 2",163947,"HON-PSYCH Psychology (BA (Hons)|*|BSc (Hons)|*|BPsych (Hons)|*|) as core [Active];","enrolment in Psychology Honours and PSYC4421 Psychology Honours Research Project Part 1",153112;153113;153114,"(PSYC4700 BA Hons (Psychology) or SCIE4700 BSc Hons) and PSYC4410 Psychological Research Communication Skills",153115,Nil,153112;153113;153114
ENVT3306,"Coastal Conservation and Management",163948;163949,"MJD-GGRPY Geographical Sciences (BSc|*|) as core [Active from 2026]; 
MJD-MARSC Marine Science (BSc|*|) as core in Coastal and Ocean Systems [Active]; 
MJD-MARSC Marine Science (BSc|*|) as core in Marine Biology [Active]; 
MJD-MARDM Marine Science (BMarSc|*|) as core [Active]; 
MJD-MBIOL Marine Biology (BSc|*|) as core [Active]; 
MJD-MARCP Marine and Coastal Processes (BSc|*|) as core [Active]; 
MJD-GSSCI Geographical and Spatial Science (BGeogSpSci|*|) as core [Active]; 
72530 Master of Environmental Science (coursework or coursework and dissertation) as conversion in Marine and Coastal Management [Active];","SCIE2204 Marine Systems",71194;71195;71196,Nil,21649,Nil,71194;71195;71196
HIST1003,"Love, Belief, and Death in Europe, 800-1800",159981,"MJD-HISTY History (BA|*|) as option [Active]; 
MNR-RELST Religion in History () as core [Active];",Nil,,Nil,,"MEMS2002 World Views: Religion, Gender and Society in Pre-modern Europe, MEMS1001 Life, Thought and Culture in Pre-modern Europe",
PHYS4001,"Dissertation in Physics Part 1",163950;163951,"HON-PHYSC Physics (BSc (Hons)|*|) as core [Active]; 
60490 Higher Degree by Research Preliminary (Engineering and Mathematical Sciences) as core [Active];","enrolment in the Bachelor of Philosophy (Honours) <strong>or</strong> Bachelor of Science (Honours) and a completed major in Physics <strong>or</strong> Frontier Physics",39255;39256,Nil,39257,Nil,39255;39256
MSCI4005,"Research Project Development and Communication ",163952,,"an undergraduate major in Chemistry, Biochemistry and Molecular Biology, Genetics, or a cognate discipline",46554;46555;46556,Nil,46557,Nil,46554;46555;46556
MSCI4006,"Advanced Techniques in Molecular Sciences",163953,"HON-BCHMB Biochemistry and Molecular Biology (BSc|*|) as core [Active]; 
HON-GENET Genetics (BSc|*|) as core [Active]; 
HON-CHEMS Chemistry (BSc|*|) as core [Active]; 
HON-BTECH Biotechnology (BSc|*|) as core [Active]; 
71520 Master of Biomedical Science (coursework or coursework and dissertation) as core in Biochemistry and Molecular Biology [Active]; 
71520 Master of Biomedical Science (coursework or coursework and dissertation) as core in Food Biochemistry [Active]; 
71580 Master of Biotechnology (coursework or coursework and dissertation) as core in Biochemistry and Molecular Biology [Active from 2026];","enrolment in the Master of Biotechnology (71580) or the Master of Health Science (71540) or the Master of Biomedical Science (71520) or Bachelor of Science (Honours) (BH004) and BIOC4003 Fundamentals of Biochemistry and Molecular Biology II or GENE4003 or undergraduate major in Biochemistry and Molecular Biology, Chemistry or Genetics.",46572;46573;46574;46575;46576;46577;46578;46579;46580;46581;46582,Nil,46583,Nil,46572;46573;46574;46575;46576;46577;46578;46579;46580;46581;46582
HRMT5530,"Career Development and Employability",163954,"41680 Master of Commerce (coursework) as option in Human Resource Management [Active]; 
41660 Master of Human Resources and Employment Relations (coursework) as core [Active] [unique]; 
12540 Master of Strategic Communication (coursework or coursework and dissertation) as option [Active]; 
41260 Graduate Certificate in Human Resources and Employment Relations as option [Active]; 
41780 Master of Management (coursework) as option in Human Resource Management [Active from 2026]; 
43680 Master of Commerce - Articulation (coursework) as option in Human Resource Management [Active];",Nil,,Nil.,,Nil.,
BIOC4001,"Advanced Studies in Biochemistry and Molecular Biology",163955,"HON-BCHMB Biochemistry and Molecular Biology (BSc|*|) as core [Active]; 
HON-BTECH Biotechnology (BSc|*|) as option [Active]; 
71520 Master of Biomedical Science (coursework or coursework and dissertation) as core in Biochemistry and Molecular Biology [Active]; 
71520 Master of Biomedical Science (coursework or coursework and dissertation) as core in Food Biochemistry [Active]; 
71580 Master of Biotechnology (coursework or coursework and dissertation) as core in Biochemistry and Molecular Biology [Active from 2026];","enrolment in the Master of Biotechnology (71580) or the Master of Health Science (71540) or the Master of Biomedical Science (71520) or the Bachelor of Science (Honours) (BH004) and BIOC4003 Fundamentals of Biochemistry and Molecular Biology II or an undergraduate major in Biochemistry and Molecular Biology.",46808;46809;46810;46811;46812;46813;46814,Nil,6663,Nil,46808;46809;46810;46811;46812;46813;46814
GENE4001,"Advanced Studies in Genetics and Genomics ",163956,"HON-GENET Genetics (BSc|*|) as core [Active]; 
HON-BTECH Biotechnology (BSc|*|) as option [Active]; 
71580 Master of Biotechnology (coursework or coursework and dissertation) as core in Genetics and Genomics [Active from 2026]; 
71580 Master of Biotechnology (coursework or coursework and dissertation) as option in Biochemistry and Molecular Biology [Active from 2026]; 
70550 Master of Bioinformatics (coursework or coursework and dissertation) as core [Active];","enrolment in the Master of Biomedical Science (71520) or the Master of Health Science (71540) or the Master of Biotechnology (71580) or Bachelor of Science (Honours) (BH004) and GENE4003 Integrated Topics in Genetics II or a Genetics major or major in Anatomy and Human Biology and ANHB3321 Biological Anthropology: Genes and Society",51466;51467;51468;51469;51470;51471;51472;51473;51474;51475;51476;51477,Nil,47136,Nil,51466;51467;51468;51469;51470;51471;51472;51473;51474;51475;51476;51477
MGMT5523,"Becoming a Leader: Perspectives on Leadership Development",158178,"42520 Master of Business Administration (coursework) as option [Drafted for 2025]; 
42520 Master of Business Administration (coursework) as option in Leadership [Drafted for 2025]; 
43520 Master of Business Administration (coursework and dissertation) as option [Active]; 
41220 Graduate Certificate in Leadership as option [Active]; 
62540 Master of Ocean Leadership (coursework) as core [Active]; 
42680 Master of Business Administration (Online) (coursework) as option [Active];","MGMT5501 Organisational Behaviour; <i>and</i> enrolment in one of the following courses: Master of Business Administration (coursework); Master of Business Administration (coursework and dissertation); Graduate Certificate in Leadership; or approval from The Business School only, which will be determined with regard to relevant documented professional work experience.",175203;175204;175205;175206;175207;175208;175209;175210;175211;175212;175213;175214,Nil.,,Nil.,175203;175204;175205;175206;175207;175208;175209;175210;175211;175212;175213;175214
HERI5108,"Heritage Dissertation (or approved equivalent) Part 1",163957,,"48 points completed from any units within the Graduate Certificate in Heritage Studies, Graduate Diploma in Heritage Studies or Master of Heritage Studies",,Nil,,Nil,
PAED5901,"MChHRes Thesis Research (full-time)",163958;163959,"91610 Master of Child Health Research (thesis and coursework) as option [Active];",Nil.,,Nil.,,Nil.,
ANIM5502,"Evolutionary Ecology",163960,"HON-ZOOLY Zoology (BSc (Hons)|*|BBiolS (Hons)|*|) as option [Active]; 
72520 Master of Biological Science (coursework or coursework and dissertation) as core in Zoology [Active]; 
72520 Master of Biological Science (coursework or coursework and dissertation) as option in Conservation Biology [Active]; 
72520 Master of Biological Science (coursework or coursework and dissertation) as option in Ecology [Active];","enrolment in the Master of Biological Science (72520) or Honours in Zoology, an expression of interest and ANIM3362 Evolutionary Processes or ANIM3365 Behavioural Ecology or equivalent and approval of the unit coordinator.",45529;45530,Nil.,2236,Nil.,45529;45530
PAED5902,"MChHRes Thesis Research (part-time)",163961;163962,"91610 Master of Child Health Research (thesis and coursework) as option [Active];",Nil.,,Nil.,,Nil.,
MSCI4001,"Research Methodology, Data Acquisition and Evaluation Part 1",163963,,"an undergraduate major in Chemistry, Biochemistry and Molecular Biology, Genetics, or a cognate discipline",46529;46530;46531,Nil,46468,Nil,46529;46530;46531
